Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-02-15,492,136,356,684,568,73,157,93,362,571,590,469,42,1279,5872,558,117,333,667,585,63,163,54,301,472,748,445,50,1542,6098,599
2014-02-16,445,121,374,581,753,91,80,87,463,564,520,345,41,1015,5480,534,98,373,518,729,74,85,49,353,449,705,338,52,1318,5675,327
2014-02-17,499,115,285,840,844,119,93,79,374,758,632,349,47,1301,6335,524,90,288,949,850,102,98,47,277,600,797,320,61,1670,6673,1078
2014-02-18,538,111,368,762,981,107,145,69,432,695,865,462,35,1614,7184,557,80,318,775,988,85,156,40,372,622,998,359,39,1986,7375,484
2014-02-19,428,130,352,762,777,110,129,52,311,573,497,524,27,1369,6041,407,80,332,711,775,102,132,21,252,415,628,377,15,1704,5951,159
2014-02-20,784,102,258,877,1070,96,113,50,621,644,704,428,28,1471,7246,766,99,240,905,1034,85,125,26,529,498,785,314,36,1746,7188,728
2014-02-21,755,117,422,1165,1172,182,189,107,545,781,854,647,45,2030,9011,735,78,382,1210,1193,151,194,73,509,661,956,604,49,2268,9063,804
2014-02-22,419,67,420,522,494,63,119,81,242,502,481,396,20,1097,4923,429,65,391,582,550,58,129,53,213,439,682,350,31,1416,5388,185
2014-02-23,396,92,306,635,864,121,103,58,365,702,535,388,30,1163,5758,461,93,285,761,864,110,131,43,292,622,748,328,49,1557,6344,149
2014-02-24,398,110,276,528,938,90,70,31,337,647,522,364,27,958,5296,426,85,260,591,935,78,102,17,239,493,689,289,29,1362,5595,153
2014-02-25,371,69,210,601,751,102,121,65,373,591,507,399,26,1228,5414,336,55,191,566,653,62,115,22,241,444,537,288,26,1460,4996,123
2014-02-26,447,99,383,800,967,137,152,84,389,628,681,566,91,1495,6919,463,78,303,761,854,131,154,45,300,509,773,471,77,1795,6714,416
